CymbaltaEpSO;cymbalta
AtivanEpSO;ativan
ThermalSeziureEpSO;thermal seziur;thermal seziure;thermal seizur;thermal seizure
HemisphericEpileptogenicZoneEpSO;hemispher epileptogen zone;hemispheric epileptogenic zone;hemisphere;hemispher
EpilepticSpasmStatusEpSO;epileptic spasm status;epilept spasm status
JuvenileMyoclonicEpilepsyEpSO;juvenil myoclon epilepsi;juvenile myoclonic epilepsy
AmaurosisEpSO;amaurosi;amaurosis
SpecialEpisodeEpSO;special episode;special episod
GelasticEpisodeEpSO;gelast episod;gelastic episode
ImmaterialAnatomicalEntityEpSO;immaterial physical anatomical entity;immaterial anatomical entity;immateri physic anatom entiti;immateri anatom entiti
KlonopinEpSO;klonopin
HypothalamicEpilepsyEpSO;hypothalam epilepsi;hypothalamic epilepsy
BirthInjuryEpSO;birth injury;birth injuri
HypothalamicHamartomaEpSO;hypothalamic hamartoma;hypothalam hamartoma
D-TalEpSO;d-tal;d- tal
BedwettingEpSO;bedwetting;bedwet
PrenatalBirthInjuryEpSO;prenat birth injuri;prenatal birth injury
DeltaStuporEpSO;delta stupor
MuRhythmEpSO;mu rhythm
PotigaEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>1112994</rxnormid></idgroup></rxnormdata>;potiga
MeningiomaEpSO;meningioma
TemporalIntermittentRythmicDeltaActivityEpSO;tempor intermitt rythmic delta activ;temporal intermittent rythmic delta activity
BrodmannArea4LeftPrecentralGyrusEpSO;brodmann area 4 left precentr gyrus;brodmann area 4 left precentral gyrus;brodmann area 4 of left precentr gyrus;brodmann area4 left precentral gyrus;brodmann area4 left precentr gyrus;brodmann area 4 of left precentral gyrus
LiquADDEpSO;liqu a d d;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>800481</rxnormid></idgroup></rxnormdata>
ElectrodeP1EpSO;electrod p1;electrode p1
AsenapineMaleateEpSO;asenapine maleate;asenapin maleat
InsulaGyrusEpSO;insula gyrus;gyrus of insula
StimulusPrecedingNegativityEpSO;stimulus preceding negativity;stimulus preced negat
StratteraEpSO;strattera
GeodonEpSO;geodon
SupplementaryMotorAreaEpilepsyEpSO;supplementari motor area epilepsi;supplementary motor area epilepsy
TrunkEpSO;torso;trunk
HypertensiveSpontaneousIntracerebralHemorrhageEpSO;hypertensive spontaneous intracerebral hemorrhage;hypertens spontan intracerebr hemorrhag
TegretolEpSO;tegretol®;tegretol
MultiLobarEpilepticZoneEpSO;multi lobar epileptic zone;multi lobar epilept zone
FocalCorticalDysplasiaTypeIIIDEpSO;fcd type iiid (cortic lamin abnorm adjac to ani other lesion acquir dure earli life);focal cortical dysplasia type i i i d;focal cortic dysplasia type i i i d;fcd type iiid (cortical lamination abnormality adjacent to any other lesion acquired during early life)
VisualAuraEpSO;visual aura
SymptomatogenicZoneEpSO;symptomatogen zone;symptomatogenic zone
UnilateralAutomatismEpSO;unilateral automatism;unilater automat
BrainSegmentEpSO;brain segment;neuraxis segment;neuraxi segment;segment of brain
ShoulderEpSO;shoulder
LateralFrontalLobeSegmentEpSO;lateral frontal lobe segment;later frontal;lateral frontal;later frontal lobe segment
InfantEpSO;infant
EEGTopographicWavePlotEpSO;e e g topograph wave plot;e e g topographic wave plot
RightShoulderEpSO;right shoulder
HeadSubdivisionEpSO;head subdivision;subdivision of head;subdivis of head;region of head;head subdivis
LeftSecondToeEpSO;left second toe
BrodmannArea4RightParacentralLobuleEpSO;brodmann area4 right paracentr lobul;brodmann area 4 right paracentral lobule;brodmann area 4 of right paracentral lobule;brodmann area 4 right paracentr lobul;brodmann area4 right paracentral lobule;brodmann area 4 of right paracentr lobul
BackgroundSlowActivityEpSO;background slow activ;background slow activity;background slow
SleepTalkingEpSO;sleep talk;sleep talking;somniloquy
FelbamateEpSO;felbamate;felbam
CONXCoord2DEpSO;c o n x coord2 d;con xcoord 2d
BanzelEpSO;banzel
GracileTubercleEpSO;gracile tubercle;gracil tubercl
COPXCoord2DEpSO;cop xcoord 2d;c o p x coord2 d
OccipitalLobeGyrusEpSO;occipit lobe gyrus;gyrus of occipital lobe;gyrus of occipit lobe;occipital lobe gyrus
FocalEpileptogenicZoneEpSO;focal epileptogenic zone;focal epileptogen zone
MidCingulateSegmentEpSO;mid cingulate segment;mid cingul segment
ElectrodePzEpSO;electrode pz;electrod pz
MedullaPyramidEpSO;medulla pyramid;pyramid of medulla
CingulateGyrusEpSO;cingul region;cingul gyrus;cingulate region;cingular;cingulate gyrus
ElectroencephalographyDataEpSO;eeg data;eeg data set;electroencephalographi data;electroencephalography data
LeftLateralFrontalLobeSegmentEpSO;left later frontal;left lateral frontal lobe segment;left lateral frontal;left later frontal lobe segment
ArtifactObscuredEEGEpSO;artifact obscured eeg (aoe);artifact obscur eeg (aoe);artifact obscured e e g;artifact obscur e e g
VisualOccipitalP100EpSO;p100;visual occipit p100;visual occipital p100
GeneralizedEpileptogenicZoneEpSO;generalized epileptogenic zone;general epileptogen zone
HemimegalencephalyEpSO;hemimegalencephaly;hemimegalencephali
PimozideEpSO;pimozid;pimozide
FaceSubdivisionEpSO;subdivision of face;subdivis of face;face subdivision;face subdivis
MotorSeizureEpSO;motor seizur;motor seizure
HeadRegion10-10SystemEpSO;head region10-10 system;head region 10-10 system
IncreasedAsymmetryPatternEpSO;increased asymmetry pattern;increas asymmetri pattern
DexedrineEpSO;dexedrine;dexedrin
ClinicalOnsetEpSO;clinical onset;clinic onset
SubcentralGyrusEpSO;subcentral gyrus;subcentr gyrus
ElectrodeT7EpSO;electrod t7;electrode t7
ActivityofDrowsinessEpSO;activityof drowsiness;activityof drowsi
PostictalAphasiaEpSO;postictal aphasia;postict aphasia
BrainNeuralTissueEpSO;brain neural tissu;neural tissue of brain;neural tissu of brain;brain neural tissue
EpilepsyWithGeneralTonicClonicSeizureOnAwakeningEpSO;epilepsi with general tonic clonic seizur on awaken;epilepsy with general tonic clonic seizure on awakening
MegalencephalyEpSO;megalencephaly;megalencephali
AphasicStatusEpSO;aphasic status;aphas status
GabapentinEpSO;gabapentin
BrodmannArea3PrecentralGyrusEpSO;brodmann area 3 of precentr gyrus;brodmann area 3 precentral gyrus;brodmann area3 precentr gyrus;brodmann area 3 precentr gyrus;brodmann area3 precentral gyrus;brodmann area 3 of precentral gyrus
EtrafonEpSO;etrafon
NegativeMyclonicStatusEpSO;negat myclon status;negative myclonic status
TrilafonEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>202730</rxnormid></idgroup></rxnormdata>;trilafon
EEGSuppressionEpSO;e e g suppress;e e g suppression
CingulateSegmentEpSO;cingulate segment;cingul segment;cingular
ElectrodeAP7EpSO;electrode a p7;electrod a p7
SerentilEpSO;serentil;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>9670</rxnormid></idgroup></rxnormdata>
LGI1EpSO;leucine-rich, glioma inactivated 1;l g i1;leucine-rich, glioma inactiv 1
BrodmannArea3FrontalLobeEpSO;brodmann area 3 of frontal lobe;brodmann area 3 frontal lobe;brodmann area3 frontal lobe
MetencephalonEpSO;neural tissue of metencephalon;neural tissu of metencephalon;metencephalon
ElectrodeF6EpSO;electrod f6;electrode f6
ClonicSeizureOnsetEpSO;clonic seizure onset;clonic seizur onset;onset of clonic phase
StatusSemiologyEpSO;status semiology;status semiolog
FreeUpperLimbSegmentEpSO;free upper limb segment
IpsilateralIctalBlinkingEpSO;unilater eye blink;ipsilateral ictal blinking;unilateral eye blinking;ipsilater ictal blink
ClonicSeizureEndEpSO;clonic seizur end;clonic seizure end;end of clonic phase
RightFrontalEncephalomalaciaEpSO;right frontal encephalomalacia
SlowAlphaVariantEpSO;slow alpha variant
RightAmygdalaEpSO;right amygdala
MidlineNuclearGroupThalamusSegmentEpSO;midlin nuclear group thalamus segment;segment of midline nuclear group of thalamus;midline nuclear group thalamus segment;segment of midlin nuclear group of thalamus
ElectrodeF7EpSO;electrod f7;electrode f7
OlfactoryTrigoneEpSO;olfactory trigone;olfactori trigon
ElectrodePO7EpSO;electrode p o7;electrod p o7
ReactivityPatternEpSO;reactiv pattern;reactivity pattern
BrainTumorEpSO;brain tumor
PaliperidoneEpSO;paliperidone;paliperidon
ElementaryAuditoryAuraEpSO;elementari auditori aura;simple auditory aura;simpl auditori aura;elementary auditory aura
FocalCorticalDysplasiaTypeIIICEpSO;fcd type iiic (cortical lamination adjacent to vascular malformation);fcd type iiic (cortic lamin adjac to vascular malformation);focal cortical dysplasia type i i i c;focal cortic dysplasia type i i i c
AmphetamineEpSO;amphetamine;amphetamin
TetrabenazineEpSO;tetrabenazin;tetrabenazine
MesialParietalLobeSegmentEpSO;mesial pariet lobe segment;mesial parietal lobe segment
PerphenazineEpSO;perphenazine;perphenazin
ClonicTonicClonicEpisodeEpSO;clonic tonic clonic episode;clonic tonic clonic episod
AmitriptylineEpSO;amitriptyline;amitriptylin
AngiocentricGliomaEpSO;angiocentric glioma;angiocentr glioma
AnaplasticGliomaEpSO;anaplastic glioma;anaplast glioma
EndocrineDisorderEpSO;endocrine disorder;endocrin disord
AmygdalaEpSO;amygdala;amygdalar;amygdaloid nuclear complex
LateralHypothalamicRegionEpSO;later hypothalam region;later divis of hypothalamus;lateral division of hypothalamus;lateral hypothalamic region
CyamemazineEpSO;cyamemazine;cyamemazin
EpilepsyEpSO;epilepsy;epilepsi
PilocyticAstrocytomaEpSO;pilocytic astrocytoma;pilocyt astrocytoma
LimbicLobeGyrusEpSO;gyrus of limbic lobe;limbic lobe gyrus
PsychicAuraEpSO;psychic aura
LimbicLobeEpSO;grand lobe limbiqu of broca;grande lobe limbique of broca;limbic lobe
TiagabineEpSO;tiagabin;tiagabine
ForearmEpSO;intermedi segment of free upper limb;intermediate segment of free upper limb;forearm
CingulateEpilepsyEpSO;cingulate epilepsy;cingul epilepsi
MethotrimeprazineEpSO;methotrimeprazin;methotrimeprazine
LubazodoneEpSO;lubazodone;lubazodon
PeriictalWaterDrinkingEpSO;peri-ict water drink;periict water drink;periictal water drinking;peri-ictal water drinking
BudeprionEpSO;budeprion;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>581646</rxnormid></idgroup></rxnormdata>
AsymmetryPatternEpSO;asymmetri pattern;asymmetry pattern
EpileptiformBenignVariantEpSO;epileptiform benign variant
FaceEpSO;face
LofepramineEpSO;lofepramine;lofepramin
SialorrheicSeizureEpSO;sialorrh seizur;sialorrheic seizure
SharpWaveEpSO;sharp wave
FocalCorticalDysplasiaTypeIIEpSO;focal cortic dysplasia type i i;focal cortical dysplasia type i i
AuraEpSO;non-specif aura;aura;non-specific aura
AutosomalDominantNocturnalFrontalLobeEpilepsyEpSO;adnfl;autosomal dominant nocturnal frontal lobe epilepsy;adnfle;autosom domin nocturn frontal lobe epilepsi
ClomicalmEpSO;clomicalm
Antobidy-associatedEncelphalitisEpSO;antobidy-associ encelph;antobidy-associated encelphalitis
PhysiologicalDataEpSO;physiolog data;physiological data
BrodmannArea3SegmentEpSO;brodmann area 3 segment;segment of brodmann area 3;brodmann area3 segment
AripiprazoleEpSO;aripiprazole;aripiprazol
ScalpRecordedERPExtractedPatternEpSO;scalp recorded erp component;scalp record erp compon;scalp recorded e r p extracted pattern;event-rel potenti data;scalp record e r p extract pattern;event-related potential data
DialepticEpisodeEpSO;dialeptic episode;dialept episod
FluvoxamineMaleateEpSO;fluvoxamine maleate;fluvoxamin maleat
OpipramolEpSO;opipramol
ElectrodeT6EpSO;electrod t6;electrode t6
FourthToeEpSO;digitus quartus [iv];fourth toe
BrodmannArea4PrecentralGyrusEpSO;brodmann area4 precentr gyrus;brodmann area 4 precentr gyrus;brodmann area 4 of precentral gyrus;brodmann area 4 precentral gyrus;brodmann area4 precentral gyrus;brodmann area 4 of precentr gyrus
AphasicSeizureEpSO;aphas seizur;aphasic seizure
CONXCoord3DEpSO;c o n x coord3 d;con xcoord 3d
PonsNeuralTissueEpSO;neural tissue of pons;neural tissu of pon;pons neural tissue;pon neural tissu
IntraCranialERPDataEpSO;intra cranial e r p data
ElectrodeF5EpSO;electrode f5;electrod f5
HemiClonicStatusEpSO;hemi clonic status
GustatoryAuraEpSO;gustatori aura;gustatory aura
LegEpSO;intermediate segment of free lower limb;intermedi segment of free lower limb
OxcarbazepineEpSO;oxcarbazepine;oxcarbazepin
NonEpilepticSeizureEpSO;episod semiolog #opic#;non epilept seizur;non epileptic seizure;episode semiology #opic#
ElectrodeP3EpSO;electrod p3;electrode p3
MesialTemporalSclerosisEpSO;mesial temporal sclerosis;mesial tempor sclerosi
RightFrontalLobeOrbitofrontalSegmentEpSO;orbitofront segment of right frontal lobe;orbitofrontal segment of right frontal lobe;right basal frontal;right frontal lobe orbitofrontal segment;right frontal lobe orbitofront segment
RetrochiasmaticAreaEpSO;retrochiasmatic region;retrochiasmatic area;retrochiasmat area;retrochiasmat region
TonicSeizureOnsetEpSO;tonic seizure onset;tonic seizur onset;onset of general tonic phase;onset of generalized tonic phase
OlfactoryAuraStatusEpSO;olfactory aura status;olfactori aura status
AsenapineEpSO;asenapin;asenapine
MedullaOblongataEpSO;zone of medulla oblongata;medulla oblongata
RightInsulaEpSO;right insula;right insular
PostictalNoseWipingEpSO;postictal nose wiping;postict nose wipe
AmgdalarEpilepsyEpSO;amgdalar epilepsy;amgdalar epilepsi
GraliseEpSO;gralise;gralis
EpilepticEpisodeEpSO;epilept episod;epileptic episode
StelazineEpSO;stelazin;stelazine;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>227572</rxnormid></idgroup></rxnormdata>
GABRG2EpSO;gamma-aminobutyr acid (gaba) a receptor, gamma 2;g a b r g2;gamma-aminobutyric acid (gaba) a receptor, gamma 2
TemporalLobeSegmentEpSO;tempor lobe segment;temporal lobe segment
ParoxetineEpSO;paroxetine;paroxetin
LeftParietalLobeEpSO;left pariet;left pariet lobe;left parietal lobe;left parietal
Temporal10-10SystemEpSO;tempor 10-10 system;temporal10-10 system;temporal 10-10 system
FelbatolEpSO;felbatol®;felbatol
NeuraxisCellPartClusterEpSO;cell part cluster of neuraxis;neuraxi cell part cluster;neuraxis layer;neuraxis cell part cluster;cell part cluster of neuraxi;neuraxi layer
FluphenazineEpSO;fluphenazin;fluphenazine
ComproEpSO;compro
PentazineVCEpSO;pentazine v c;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>631706</rxnormid></idgroup></rxnormdata>;pentazin v c
FrontalLobeGyrusEpSO;frontal lobe gyrus;gyrus of frontal lobe
BrodmannArea4SegmentEpSO;segment of brodmann area 4;brodmann area4 segment;brodmann area 4 segment
ElectrodePO4EpSO;electrod p o4;electrode p o4
Mellaril-SEpSO;mellaril- s;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>218304</rxnormid></idgroup></rxnormdata>
MianserinHydrochlorideEpSO;mianserin hydrochlorid;mianserin hydrochloride
BenignChildhoodEpilepsyWithCentrotemporalSpikesEpSO;benign childhood epilepsy with centrotemporal spikes;benign childhood epilepsi with centrotempor spike
CongenitalNeurologicalDeficitEpSO;congenit neurolog deficit;congenital neurological deficit
VentralPosteriorNucleusSegmentEpSO;ventral posterior nuclear segment;ventral posterior nucleus segment;segment of ventral posterior nucleus
LeftOccipitalPoleEpSO;left occipital pole;left occipit pole
DextroStatEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>216555</rxnormid></idgroup></rxnormdata>;dextro stat
ElectrodeFC3EpSO;electrode f c3;electrod f c3
AtonicEpisodeEpSO;aton episod;atonic episode
NoxeneEpSO;noxen;noxene;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>541408</rxnormid></idgroup></rxnormdata>
RemeronEpSO;remeron
CLCN2EpSO;chlorid channel, voltage-sensit 2;c l c n2;chloride channel, voltage-sensitive 2
DilantinEpSO;dilantin®;dilantin
MidbrainNeuralTissueEpSO;neural tissu of midbrain;neural tissue of midbrain;midbrain neural tissu;midbrain neural tissue
SimpleVisualHallucinationEpSO;simpl visual hallucin;simple visual hallucination
BrodmannArea4ParacentralLobuleAnteriorSegmentEpSO;anterior segment of brodmann area 4 paracentr lobul;anterior segment of brodmann area 4 paracentral lobule;brodmann area4 paracentr lobul anterior segment;brodmann area 4 of anterior segment of paracentr lobul;brodmann area4 paracentral lobule anterior segment;brodmann area 4 of anterior segment of paracentral lobule
SabrilEpSO;sabril
HeterogeneousClusterEpSO;heterogeneous cluster;heterogen cluster
BrodmannArea3ParacentralLobuleAnteriorSegmentEpSO;brodmann area 3 of anterior segment of paracentr lobul;brodmann area3 paracentral lobule anterior segment;brodmann area3 paracentr lobul anterior segment;anterior segment of brodmann area 3 paracentral lobule;brodmann area 3 of anterior segment of paracentral lobule;anterior segment of brodmann area 3 paracentr lobul
MysolineEpSO;mysoline;mysolin;mysoline®
FreeLowerLimbSegmentEpSO;free lower limb segment
GranulomasEpSO;granuloma;granulomas
DistalFreeLimbSegmentEpSO;distal free limb segment
ElectrodeFC1EpSO;electrode f c1;electrod f c1
DuloxetineHydrochlorideEpSO;duloxetin hydrochlorid;duloxetine hydrochloride
PosteriorSlowWavesofYouthEpSO;posterior slow wavesof youth
MultiFocalEpileptogenicZoneEpSO;multiregional;multiregion;multi focal epileptogenic zone;multi focal epileptogen zone
CerebellumSegmentEpSO;segment of cerebellum;cerebellum segment;subdivision of cerebellum;subdivis of cerebellum
IctalDystoniaEpSO;dystonic posturing;dyston postur;ictal dystonia
EmeticSeizureEpSO;emetic seizure;emet seizur
RightCerebralHemisphereEpSO;right cerebr hemispher;right cerebral hemisphere
LeftSignOfFourEpSO;left sign of 4;left sign of four
EEGPatternEpSO;e e g pattern
TonicStatusEpSO;tonic status
ElectrodeAP5EpSO;electrod a p5;electrode a p5
ElectrodeF4EpSO;electrod f4;electrode f4
RightOccipitalPoleProperEpSO;right occipital pole proper;right occipit pole proper
PamelorEpSO;pamelor
CarbamazepineEpSO;carbamazepin;carbamazepine
BasalTemporalLobeSegmentEpSO;basal temporal;basal tempor;basal tempor lobe segment;basal temporal lobe segment
HumanBeingEpSO;human being;human be
NightTerrorEpSO;night terror
RightFrontalLobeDorsolateralZoneEpSO;right frontal lobe dorsolater zone;dorsolater zone of right frontal lobe;right frontal lobe dorsolateral zone;dorsolateral zone of right frontal lobe
MyoclonicSeizureEpSO;myoclon seizur;myoclonic seizure
PulvinarSegmentEpSO;segment of pulvinar;pulvinar segment
BupropionEpSO;bupropion
ReconcileEpSO;reconcile;reconcil
BrodmannArea4PostcentralGyrusEpSO;brodmann area4 postcentr gyrus;brodmann area 4 of postcentr gyrus;brodmann area 4 postcentral gyrus;brodmann area4 postcentral gyrus;brodmann area 4 postcentr gyrus;brodmann area 4 of postcentral gyrus
ElectrodeIzEpSO;electrod iz;electrode iz
BrodmannArea4LeftParacentralLobuleAnteriorSegmentEpSO;anterior segment of brodmann area 4 left paracentral lobule;brodmann area 4 of anterior segment of left paracentr lobul;brodmann area4 left paracentral lobule anterior segment;brodmann area4 left paracentr lobul anterior segment;brodmann area 4 of anterior segment of left paracentral lobule;anterior segment of brodmann area 4 left paracentr lobul
RightPosteriorTemporalLobeSegmentEpSO;right posterior tempor lobe segment;right posterior temporal lobe segment
SimpleMotorEpisodeEpSO;simpl motor episod;simple motor episode
PaxilEpSO;paxil
BrainGyrusEpSO;brain gyrus;gyrus of brain;gyrus of cerebral hemisphere;gyrus of cerebr hemispher
MouthEpSO;mouth;oral region
AuraStatusEpSO;aura status
LimbSegmentEpSO;limb segment
RightHemisphericStrokeEpSO;right hemispheric stroke;right hemispher stroke
RightMesialParietalLobeSegmentEpSO;right mesial parietal lobe segment;right mesial pariet lobe segment
ProzacEpSO;prozac
LeftHandEpSO;left hand
LossOfConsciousnessStateEpSO;loss of consciousness (loc) refers to complete unresponsiveness with postictal amnesia for the events that happened during the seizure.;loss of conscious state;loss of consciousness state
ThalamusSegmentEpSO;thalamus segment;segment of thalamus
ElectrodeP2EpSO;electrod p2;electrode p2
ElectrodeFT10EpSO;electrod f t10;electrode f t10
ElectrodeT5EpSO;electrod t5;electrode t5
ExtractedERPPatternEpSO;extracted e r p pattern;extract e r p pattern
BruxismEpSO;bruxism
CavernousAngiomaEpSO;cavern angioma;cavernous angioma
ProximalFreeLimbSegmentEpSO;proximal free limb segment;proxim free limb segment
LateralParietalLobeSegmentEpSO;lateral parietal;later pariet;later pariet lobe segment;lateral parietal lobe segment
LeftThumbEpSO;left thumb
PrimaryReadingEpilepsyEpSO;primari read epilepsi;primary reading epilepsy
AdolescentEpSO;adolescent;adolesc
VisualAgnosiaEpSO;visual agnosia
ParoxysmalEventEpSO;seizure semiology;paroxysmal event;seizur semiolog;paroxysm event
DrugIngredientEpSO;drug ingredi;drug ingredient
GeneticMutationEpSO;genetic mutation;genet mutat
SeizureOnsetZoneEpSO;seizur onset zone;seizure onset zone
JamaisVuStatusEpSO;jamai vu status;jamais vu status
LeftMesialOccipitalLobeSegmentEpSO;left mesial occipital lobe segment;left mesial occipit lobe segment
NeuraxisSegmentEpSO;neuraxis segment;neuraxi segment;segment of neuraxis;segment of neuraxi
EpendymomaEpSO;ependymoma
DeltaComaEpSO;delta coma
LeftFrontalLobeDorsolateralZoneEpSO;dorsolater zone of left frontal lobe;left frontal lobe dorsolater zone;left frontal lobe dorsolateral zone;dorsolateral zone of left frontal lobe
EEG8ChannelTopographicWavePlotEpSO;e e g8 channel topographic wave plot;e e g8 channel topograph wave plot;8-channel topograph wave plot;8-channel topographic wave plot
GeneralLearningDisabilityEpSO;general learning disability;mental retardation;general learn disabl;mental retard
FazacloEpSO;fazaclo
ElectrodeFCzEpSO;electrode f cz;electrod f cz
CorticalDevelopmentMalformationEpSO;cortical development malformation;malformation of cortical development;malform of cortic develop;cortic develop malform
AdderallEpSO;adderal;adderall
HypermotorSeizureEpSO;hypermotor seizur;hypermotor seizure
BetaComaEpSO;beta coma
DepakoteEREpSO;depakot er®;depakote er®;depakot e r;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>284710</rxnormid></idgroup></rxnormdata>;depakote e r
ZybanEpSO;zyban
IntraCranialEEGDataEpSO;intra cranial e e g data
LeftLegEpSO;left leg
ParaHippocampalEpilepsyEpSO;para hippocampal epilepsy;para hippocamp epilepsi
LemniscalTrigoneEpSO;lemnisc trigon;lemniscal trigone
FluvoxamineEpSO;fluvoxamine;fluvoxamin
MetamorphopsiaStatusEpSO;metamorphopsia status
IndependentContinuantEpSO;independ continu;independent continuant
RightHandEpSO;right hand
InflammationEpSO;inflammation;inflamm
MacropsiaEpSO;macropsia
BreachRhythmEpSO;breach rhythm
DextroamphetamineSulfateEpSO;dextroamphetamine sulfate;dextroamphetamin sulfat
AnteriorSlowActivityinChildrenEpSO;anterior slow activityin children
BrodmannArea4ParacentralLobulePosteriorSegmentEpSO;brodmann area4 paracentral lobule posterior segment;brodmann area 4 of posterior segment of paracentr lobul;posterior segment of brodmann area 4 paracentr lobul;posterior segment of brodmann area 4 paracentral lobule;brodmann area4 paracentr lobul posterior segment;brodmann area 4 of posterior segment of paracentral lobule
DepressionEpSO;depress;depression
LambdaWaveEpSO;lambda wave
ContinuousSlowActivityOnsetEpSO;continu slow activ onset;continuous slow activity onset;onset of continu slow;onset of continuous slow
LithiumEpSO;lithium
ElectrodeF3EpSO;electrode f3;electrod f3
LeftBasalTemporalLobeSegmentEpSO;left basal tempor lobe segment;left basal temporal lobe segment;left basal tempor;left basal temporal
NegativeMyoclonicSeizureEpSO;negat myoclon seizur;negative myoclonic seizure
OligoastrocytomaEpSO;oligoastrocytoma
RightHippocampusEpSO;right hippocampus
ClonicTonicClonicSeizureEpSO;clonic tonic clonic seizur;clonic tonic clonic seizure;clonic-tonic-clonic seizure;clonic-tonic-clon seizur
ElectrodePO3EpSO;electrode p o3;electrod p o3
PhenerganCodeineEpSO;phenergan codein;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>93766</rxnormid></idgroup></rxnormdata>;phenergan codeine
SleepWalkingEpSO;sleep walk;somnambul;sleep walking;somnambulism
NortriptylineHydrochlorideEpSO;nortriptylin hydrochlorid;nortriptyline hydrochloride
DepakeneEpSO;depakene;depaken;depakene®
LeftLittleToeEpSO;left little toe;left littl toe
MeningitisEpSO;meningitis;mening
HippocampusEpSO;hippocampal;hippocamp;hippocampus
ServiraEpSO;servira;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>753345</rxnormid></idgroup></rxnormdata>
NeuropsychiatricProblemEpSO;neuropsychiatric problem;neuropsychiatr problem
StavzorEpSO;<?xml version="1.0" encoding="utf-8" standalone="yes"?><rxnormdata><idgroup><rxnormid>804548</rxnormid></idgroup></rxnormdata>;stavzor
ElectrodeFP2EpSO;electrode f p2;electrod f p2
SpikeEpSO;spike
MyoclonicEpisodeEpSO;myoclon episod;myoclonic episode
PelopsiaStatusEpSO;pelopsia status
LeftBigToeEpSO;left big toe
SmallShartSpikeEpSO;small shart spike
LyricaEpSO;lyrica
TelencephalonNeuralTissueEpSO;telencephalon neural tissue;neural tissue of telencephalon;neural tissu of telencephalon;telencephalon neural tissu
